TEAM,Akurasi Umpan,Akurasi Tembakan,Kartu Kuning,Kartu Merah,Offside,Umpan Gagal,Umpan Sukses,Pelanggaran,Penguasaan Bola,Tekel Sukses,Tembakan Diblok,Tembakan ke Gawang,Tendangan Sudut,Total Umpan,Total Tembakan
AREMA FC,162,100,5,1,3,131,610,20,94,23,3,8,7,741,18
BALI UNITED FC,161,94,6,0,3,162,701,24,122,26,12,12,18,863,38
BHAYANGKARA PRESISI LAMPUNG FC,154,131,5,1,1,148,500,27,112,25,8,8,12,648,20
BORNEO FC SAMARINDA,82,40,0,0,1,65,303,13,56,22,1,2,1,368,6
DEWA UNITED BANTEN FC,175,75,4,0,4,117,848,21,130,32,14,7,14,965,30
MADURA UNITED FC,161,96,4,0,3,147,614,20,99,45,4,7,6,761,18
MALUT UNITED FC,158,126,4,0,5,133,513,16,81,30,3,8,6,646,16
PERSEBAYA SURABAYA,155,100,2,0,2,162,567,27,98,26,4,6,6,729,16
PERSIB BANDUNG,85,50,1,0,2,41,240,17,41,7,8,7,3,281,22
PERSIJA JAKARTA,170,100,4,1,1,120,704,23,114,23,8,12,12,824,32
PERSIJAP JEPARA,80,44,6,0,1,61,258,8,68,17,2,4,6,319,11
PERSIK KEDIRI,159,96,2,0,2,118,527,19,89,35,6,7,17,645,22
PERSIS SOLO,166,100,6,1,8,115,578,26,93,22,2,6,6,693,14
PERSITA,159,38,2,0,6,130,523,24,92,18,5,5,7,653,22
PSBS BIAK,82,80,0,0,1,58,272,11,43,11,2,4,1,330,7
PSIM YOGYAKARTA,165,141,6,0,3,137,696,13,111,20,10,12,10,833,27
PSM MAKASSAR,134,93,8,0,0,120,245,24,64,33,4,4,6,365,12
SEMEN PADANG FC,159,85,5,0,5,138,563,26,93,27,5,7,6,701,19
