Player Name,Team,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
A. NUR HARDIANTO,PERSITA,,1,,,,1,,,,1,,,,,,,,,2,,,
ABRIZAL UMANAILO,SEMEN PADANG FC,,,,,,,1,2,2,2,,,2,,,,,,1,,1,1
ABU KAMARA,PSM MAKASSAR,,,,,,,,,2,,,1,,,,,,,,1,,
ACHMAD MAULANA SYARIF,AREMA FC,,,1,2,2,1,1,,2,1,,,5,6,,69,,,,,1,1
ACHMAT FAHRUL ADITIA,PSM MAKASSAR,,1,,,1,,,1,,5,,,1,2,,,,,,,,
ADAM ALIS SETYANO,PERSIB BANDUNG,,,,,1,,1,1,,3,2,,,4,,31,,,,,2,
ADRIANO DUARTE CASTANHEIRA,PERSIS SOLO,1,1,,,1,2,,1,,1,,,,1,,51,,,,1,,
ADY EKO JAYANTO,PERSIK KEDIRI,,2,1,,3,,,,1,2,,,,3,,,,,,,,1
AHMAD AGUNG SETIA BUDI,BORNEO FC SAMARINDA,,,,,,,,,,,,,,,,,,,,,1,
AHMAD FAHD ALCHOIR,PERSITA,,4,,,,,,2,3,,1,,,4,,52,,,,1,2,
AHMAD NUFIANDANI,MADURA UNITED FC,,,,,,,,,,,,,2,,,,,,,,3,
AHMAD RUSADI,MADURA UNITED FC,,,,,4,,,,,,1,,,,,,,,,,,
AJI KUSUMA,MADURA UNITED FC,,,,,,,,,,,,,,,,,,,,2,,
AKBAR TANJUNG,PSM MAKASSAR,,2,2,,7,,,,3,,5,,,6,,39,,,,,7,1
ALAN CARDOSO DE ANDRADE,PERSIJA JAKARTA,,4,1,,7,4,2,2,4,5,6,,3,10,,126,,,2,2,9,1
ALAN JOSE BERNARDON,MALUT UNITED FC,,,,,,,,,,,5,,,,,,,7,,,,
ALBERTINE JOAO PEREIRA,MADURA UNITED FC,,,,,4,1,,2,3,8,,,6,4,,,,,,,,
ALDO GERALDO MANUEL MONTEIRO,PSBS BIAK,,,,,,,,,,,,,,,,54,,7,,,,
ALEX DE AGUIAR GOMES,PSM MAKASSAR,,,,,,,,4,,3,,,5,,,17,,,,,,
ALEX MARTINS FERREIRA,DEWA UNITED BANTEN FC,1,,,,4,3,,,1,6,,1,3,,,,1,,1,2,,
ALEXIS NAHUEL GÓMEZ,PERSIJAP JEPARA,1,8,,1,,7,4,3,3,5,6,,2,1,,83,,,3,1,4,2
ALEXIS NAHUEL MESSIDORO,DEWA UNITED BANTEN FC,,2,,,1,4,,2,,1,6,2,2,2,,189,,,,2,4,
ALFRIYANTO NICO SAPUTRO,PERSIJA JAKARTA,1,,1,,,1,,,,,,,,,,,,,,,3,
ALHASSAN WAKASO,SEMEN PADANG FC,,2,1,,4,1,,1,5,2,1,,7,10,,98,,,,,10,
ALLANO BRENDON DE SOUZA LIMA,PERSIJA JAKARTA,,1,,,2,3,,1,5,2,2,2,1,4,,66,,,,2,3,2
ALOISIO SOARES NETO,PSM MAKASSAR,,,,,11,,,,1,,2,,4,4,,21,,,,,5,1
ALTHAF INDIE ALRIZKY,PERSIS SOLO,1,,,,,1,1,1,,2,,,,1,,,,,,1,,
ANANDA RAEHAN ALIEF,PSM MAKASSAR,,1,,,,1,,,,2,2,,,,,,,,1,,,
ANDRE OKTAVIANSYAH,PSBS BIAK,,,,,,,,,,,,,1,,,37,,,,,3,
ANDREJIC ALEKSA,PERSITA,,,,,,1,,,3,,,1,3,,,,1,,3,3,2,
ANGELO RAFAEL TEIXEIRA ALPOIM MENESES,SEMEN PADANG FC,,1,4,,9,,,,,3,6,,3,4,,120,,,,,6,
ANGGA SAPUTRO,MALUT UNITED FC,,,,,,,,,,,,,,,,,,1,,,,
ARAPENTA LINGKA POERBA,PERSIS SOLO,,2,,,,1,,1,4,4,4,,,3,,97,,,,,1,1
ARDI IDRUS,BHAYANGKARA PRESISI LAMPUNG FC,,,,,5,,1,,,,,,,2,,,,,,,,
ARIEF CATUR PAMUNGKAS,PERSEBAYA SURABAYA,1,3,,1,3,2,1,1,3,3,2,,3,11,,91,,,,,6,2
ARIF BUDIYONO,PSBS BIAK,,,,,2,,1,,,,,,,3,,,,,,,,
ARKHAN FIKRI,AREMA FC,,3,,,,1,,1,,4,2,,,,,,,,,1,,
ARLYANSYAH ABDULMANAN,PERSIJA JAKARTA,1,,,,,4,,,,1,,,1,2,,,,,1,1,,
ARMANDO OBET OROPA,SEMEN PADANG FC,,,,,,,,,,,1,,,2,,,,,,,,
ARTHUR AUGUSTO DA SILVA,SEMEN PADANG FC,,,,,3,1,,,,,6,,,,,66,,7,,,,
AWAN SETHO RAHARJO,BHAYANGKARA PRESISI LAMPUNG FC,,,,,2,,,,,,4,,,,,41,,6,,,,
BAYU SETIAWAN,AREMA FC,,1,,1,1,2,,,2,1,,,,5,,68,,,,,,
BECKHAM PUTRA NUGRAHA,PERSIB BANDUNG,,1,,,,1,1,,,6,,,,,,,,,,,2,
BORIS KOPITOVIC,BALI UNITED FC,,3,,,,3,,1,4,3,,2,4,1,,,,,,8,1,1
BRANDON JAMES WILSON,BALI UNITED FC,1,3,,1,1,4,1,1,8,,3,,5,9,,136,,,,1,3,1
BRIAN FATARI,DEWA UNITED BANTEN FC,,,1,,,,,,,,,,,2,,53,,,,,,
BRUNO GOMES DE OLIVEIRA CONCEICAO,SEMEN PADANG FC,,,1,,2,2,,,5,,2,2,8,,,,,,3,8,,
BRUNO MOREIRA SOARES,PERSEBAYA SURABAYA,1,3,,1,,7,2,2,,,,1,1,2,,68,1,,,4,2,
CAHYA SUPRIADI,PSIM YOGYAKARTA,,,,,,,,,,,7,,,,,41,,9,,,,
CARLOS EDUARDO SOARES MOTA,PERSIJA JAKARTA,,,,,,,,,,1,2,,,,,60,,5,,,,
CARLOS FILIPE DA FONSECA CHABY,SEMEN PADANG FC,,1,1,,1,2,,,2,3,4,1,1,1,,46,,,1,1,,1
CARLOS HENRIQUE FRANÇA FREIRES,PERSIJAP JEPARA,,3,,,,1,1,4,6,12,1,2,5,,,,,,2,4,6,2
CASSIO FERNANDO SCHEID,DEWA UNITED BANTEN FC,,2,2,1,4,,,,1,2,4,,10,8,,121,,,1,,4,
CHRISTIAN ILIC,BHAYANGKARA PRESISI LAMPUNG FC,,2,,,,1,1,2,4,2,1,,,,,41,,,1,2,3,2
CHRISTOPHE NDUWARUGIRA,BORNEO FC SAMARINDA,,2,2,,9,,,,,4,11,,,6,,153,,,1,,2,1
CIRO HENRIQUE ALVES FERREIRA E SILVA,MALUT UNITED FC,1,2,,,,4,1,4,1,7,2,1,2,,,38,,,3,2,,
CLAUDIO LUCAS MORASI FERREIRA DOS SANTOS,PSBS BIAK,,1,,,1,2,1,4,5,2,5,2,1,5,,57,2,,1,5,3,
CORFE DERI ANTONY,PSIM YOGYAKARTA,,,1,,,3,1,1,4,8,1,,3,2,,68,,,3,,3,
CORNELIUS EZEKIEL STEWART,SEMEN PADANG FC,,,,,1,2,3,4,,4,,,,,,40,,,2,,2,
D. S. SHEVA MARESCA AMAVISCA,PSIM YOGYAKARTA,,2,,,,1,,,,2,,,,1,,,,,,2,1,
DAISUKE SAKAI,PSM MAKASSAR,,2,,,,2,1,1,,4,7,,,2,,25,,,,,2,
